Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
E;2012;1;Januar;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;2;Februar;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;3;März;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;4;April;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;5;Mai;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;6;Juni;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;7;Juli;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;8;August;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;9;September;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;10;Oktober;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;11;November;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;12;Dezember;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;23;Jahr;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;24;1. Quartal;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;25;2. Quartal;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;26;3. Quartal;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;27;4. Quartal;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;28;1. Halbjahr;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2012;29;2. Halbjahr;108;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
E;2013;1;Januar;108;106.22850799560547;102.74613952636719;103.38928985595703;106.22850799560547;102.74613952636719;103.38928985595703;106.22850799560547;102.74613952636719;103.38928985595703;def;2026-09-10T00:00:00.000+02:00
