Verkehrsrichtung;Jahr;Periode;Periode_txt;Warengruppe_CPA;Kettenindex_nominal;Kettenindex_Durchschnittswert;Kettenindex_real;Index_nominal_Vorjahr;Index_Durchschnittswert_Vorjahr;Index_real_Vorjahr;Index_nominal_Vorperiode;Index_Durchschnittswert_Vorperiode;Index_real_Vorperiode;Stand;Aktualisierungsdatum
I;2012;1;Januar;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;2;Februar;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;3;März;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;4;April;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;5;Mai;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;6;Juni;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;7;Juli;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;8;August;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;9;September;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;10;Oktober;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;11;November;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;12;Dezember;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;23;Jahr;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;24;1. Quartal;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;25;2. Quartal;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;26;3. Quartal;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;27;4. Quartal;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;28;1. Halbjahr;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2012;29;2. Halbjahr;0;100.0;100.0;100.0;;;;;;;def;2026-09-10T00:00:00.000+02:00
I;2013;1;Januar;0;98.73355102539062;103.60396575927734;95.29901123046875;98.73355102539062;103.60396575927734;95.29901123046875;98.73355102539062;103.60396575927734;95.29901123046875;def;2026-09-10T00:00:00.000+02:00
I;2013;2;Februar;0;94.68024444580078;104.09098052978516;90.95912170410156;94.68024444580078;104.09098052978516;90.95912170410156;95.89469909667969;100.47007751464844;95.44602966308594;def;2026-09-10T00:00:00.000+02:00
I;2013;3;März;0;101.417724609375;104.9402847290039;96.64327239990234;101.417724609375;104.9402847290039;96.64327239990234;107.11603546142578;100.81592559814453;106.24913024902344;def;2026-09-10T00:00:00.000+02:00
I;2013;4;April;0;105.00889587402344;101.91812133789062;103.03260803222656;105.00889587402344;101.91812133789062;103.03260803222656;103.54096984863281;97.12010955810547;106.61125183105469;def;2026-09-10T00:00:00.000+02:00
I;2013;5;Mai;0;103.02491760253906;99.66327667236328;103.37299346923828;103.02491760253906;99.66327667236328;103.37299346923828;98.11065673828125;97.78759765625;100.33037567138672;def;2026-09-10T00:00:00.000+02:00
