month,chf_per_usd
2000-01,1.5854
2000-02,1.6316
2000-03,1.6616
2000-04,1.6605
2000-05,1.7164
2000-06,1.6419
2000-07,1.6488
2000-08,1.7154
2000-09,1.7552
2000-10,1.7685
2000-11,1.7767
2000-12,1.6874
2001-01,1.6291
2001-02,1.6661
2001-03,1.6878
2001-04,1.712
2001-05,1.7519
2001-06,1.7827
2001-07,1.7602
2001-08,1.6799
2001-09,1.6386
2001-10,1.6329
2001-11,1.6509
2001-12,1.6498
2002-01,1.6681
2002-02,1.6979
2002-03,1.6753
2002-04,1.6549
2002-05,1.5876
2002-06,1.5408
2002-07,1.474
2002-08,1.4977
2002-09,1.4938
2002-10,1.4929
2002-11,1.4651
2002-12,1.441
2003-01,1.3759
2003-02,1.3616
2003-03,1.3592
2003-04,1.3773
2003-05,1.3097
2003-06,1.3189
2003-07,1.3601
2003-08,1.3816
2003-09,1.3788
2003-10,1.3224
2003-11,1.3318
2003-12,1.2664
2004-01,1.2417
2004-02,1.2436
2004-03,1.2767
2004-04,1.2965
2004-05,1.2828
2004-06,1.251
2004-07,1.2438
2004-08,1.2629
2004-09,1.2631
2004-10,1.235
2004-11,1.1732
2004-12,1.1453
2005-01,1.1777
2005-02,1.1907
2005-03,1.1727
2005-04,1.1949
2005-05,1.2173
2005-06,1.2643
2005-07,1.2937
2005-08,1.2623
2005-09,1.2638
2005-10,1.288
2005-11,1.3098
2005-12,1.3047
2006-01,1.2779
2006-02,1.3041
2006-03,1.3047
2006-04,1.2834
2006-05,1.2188
2006-06,1.2324
2006-07,1.2363
2006-08,1.2305
2006-09,1.2433
2006-10,1.26
2006-11,1.2358
2006-12,1.2078
2007-01,1.2439
2007-02,1.2402
2007-03,1.218
2007-04,1.2116
2007-05,1.221
2007-06,1.2332
2007-07,1.2076
2007-08,1.2027
2007-09,1.1861
2007-10,1.1742
2007-11,1.1234
2007-12,1.1391
2008-01,1.1008
2008-02,1.0908
2008-03,1.012
2008-04,1.0125
2008-05,1.0435
2008-06,1.0373
2008-07,1.0261
2008-08,1.0839
2008-09,1.1097
2008-10,1.1421
2008-11,1.1894
2008-12,1.1463
2009-01,1.1287
2009-02,1.1651
2009-03,1.1553
2009-04,1.1482
2009-05,1.1086
2009-06,1.081
2009-07,1.0796
2009-08,1.0689
2009-09,1.0406
2009-10,1.0216
2009-11,1.0123
2009-12,1.0283
2010-01,1.0337
2010-02,1.0715
2010-03,1.0668
2010-04,1.0684
2010-05,1.1284
2010-06,1.1282
2010-07,1.0549
2010-08,1.0398
2010-09,1.0023
2010-10,0.9685
2010-11,0.9831
2010-12,0.9683
2011-01,0.9569
2011-02,0.9499
2011-03,0.9197
2011-04,0.8987
2011-05,0.8735
2011-06,0.8403
2011-07,0.8244
2011-08,0.7812
2011-09,0.8723
2011-10,0.8975
2011-11,0.9082
2011-12,0.9316
2012-01,0.9378
2012-02,0.9119
2012-03,0.9133
2012-04,0.9136
2012-05,0.9377
2012-06,0.9584
2012-07,0.9766
2012-08,0.9685
2012-09,0.9405
2012-10,0.9328
2012-11,0.9392
2012-12,0.9216
2013-01,0.9241
2013-02,0.9202
