month,cocoa_usd,chf_per_usd,cocoa_chf,sugar_usd,lik_choc,lik_food,lik_total
2000-01-01,0.92,1.5854,1.458568,0.12,75.2124,89.8844,86.5697
2000-02-01,0.86,1.6316,1.403176,0.12,74.8049,90.8551,86.8951
2000-03-01,0.93,1.6616,1.545288,0.11,74.7678,90.5547,86.8654
2000-04-01,0.91,1.6605,1.511055,0.13,74.7234,91.2411,86.9413
2000-05-01,0.92,1.7164,1.579088,0.15,74.3673,91.3686,86.8986
2000-06-01,0.95,1.6419,1.559805,0.18,74.1996,91.812,87.222
2000-07-01,0.97,1.6488,1.599336,0.21,71.601,90.9929,87.2867
2000-08-01,0.89,1.7154,1.526706,0.23,74.4272,91.2419,87.0608
2000-09-01,0.88,1.7552,1.544576,0.22,74.44,90.9991,87.4972
2000-10-01,0.88,1.7685,1.55628,0.24,73.8894,90.6107,87.4034
2000-11-01,0.88,1.7767,1.563496,0.22,74.0921,90.7374,87.8201
2000-12-01,0.89,1.6874,1.501786,0.22,74.0472,90.2667,87.7542
2001-01-01,1,1.6291,1.6291,0.23,74.598,91.1659,87.6912
2001-02-01,0.89,1.6661,1.482829,0.22,74.174,91.3352,87.5726
2001-03-01,1.12,1.6878,1.890336,0.2,74.213,91.5659,87.7131
2001-04-01,1.08,1.712,1.84896,0.19,75.9272,92.1931,87.9555
2001-05-01,1.08,1.7519,1.892052,0.21,72.3303,92.5697,88.433
2001-06-01,0.97,1.7827,1.729219,0.2,75.0924,94.0967,88.6005
2001-07-01,0.97,1.7602,1.707394,0.19,75.169,93.7685,88.4664
2001-08-01,1.03,1.6799,1.730297,0.18,75.1034,93.2288,87.9757
2001-09-01,1.02,1.6386,1.671372,0.17,75.189,93.4194,88.0878
2001-10-01,1.08,1.6329,1.763532,0.15,75.1505,94.0263,87.9543
2001-11-01,1.23,1.6509,2.030607,0.17,75.211,93.0033,88.0721
2001-12-01,1.34,1.6498,2.210732,0.17,74.8104,93.8138,88.0395
2002-01-01,1.39,1.6681,2.318659,0.17,75.2437,95.3978,88.1485
2002-02-01,1.49,1.6979,2.529871,0.14,72.7232,95.2752,88.1457
2002-03-01,1.59,1.6753,2.663727,0.15,75.4825,95.2116,88.1599
2002-04-01,1.57,1.6549,2.598193,0.15,75.5476,95.569,88.9207
2002-05-01,1.6,1.5876,2.54016,0.13,75.8062,95.2652,89.006
2002-06-01,1.66,1.5408,2.557728,0.13,72.9998,95.1796,88.8893
2002-07-01,1.87,1.474,2.75638,0.14,76.1165,95.0158,88.4208
2002-08-01,1.96,1.4977,2.935492,0.14,74.4256,94.8026,88.3915
2002-09-01,2.16,1.4938,3.226608,0.15,77.5717,95.0119,88.5255
2002-10-01,2.2,1.4929,3.28438,0.17,77.6268,94.8252,89.0424
2002-11-01,1.81,1.4651,2.651831,0.17,77.7113,94.4024,88.8784
2002-12-01,2.03,1.441,2.92523,0.18,77.7823,94.4562,88.8239
2003-01-01,2.18,1.3759,2.999462,0.18,74.0858,94.764,88.8948
2003-02-01,2.28,1.3616,3.104448,0.2,77.9355,95.5161,88.9824
2003-03-01,1.95,1.3592,2.65044,0.18,78.2736,96.4046,89.3405
2003-04-01,1.92,1.3773,2.644416,0.17,79.2144,96.3641,89.518
2003-05-01,1.74,1.3097,2.278878,0.16,79.2017,96.2604,89.3746
2003-06-01,1.57,1.3189,2.070673,0.15,79.2374,96.7902,89.3764
2003-07-01,1.56,1.3601,2.121756,0.15,76.1671,95.9826,88.6599
2003-08-01,1.55,1.3816,2.14148,0.15,79.2809,96.3521,88.8663
2003-09-01,1.64,1.3788,2.261232,0.13,78.8561,96.7516,88.995
2003-10-01,1.48,1.3224,1.957152,0.13,79.3638,96.8054,89.4464
2003-11-01,1.51,1.3318,2.011018,0.13,78.9429,96.6064,89.334
2003-12-01,1.63,1.2664,2.064232,0.14,77.9124,96.6892,89.3513
2004-01-01,1.63,1.2417,2.023971,0.13,79.551,97.2089,89.0481
2004-02-01,1.57,1.2436,1.952452,0.13,79.5795,96.8793,89.0631
2004-03-01,1.5,1.2767,1.91505,0.14,79.3517,97.1188,89.2538
2004-04-01,1.44,1.2965,1.86696,0.15,79.5919,97.4637,90.0067
2004-05-01,1.42,1.2828,1.821576,0.14,79.5841,97.216,90.2147
2004-06-01,1.4,1.251,1.7514,0.15,79.6401,97.8958,90.3703
2004-07-01,1.56,1.2438,1.940328,0.17,79.5236,96.9689,89.4245
2004-08-01,1.73,1.2629,2.184817,0.17,79.6432,96.1534,89.7559
2004-09-01,1.55,1.2631,1.957805,0.17,75.1011,96.4464,89.7611
2004-10-01,1.48,1.235,1.8278,0.19,79.5609,96.4536,90.6027
2004-11-01,1.66,1.1732,1.947512,0.18,79.3002,96.1739,90.6896
2004-12-01,1.66,1.1453,1.901198,0.18,79.0646,96.3613,90.5413
2005-01-01,1.55,1.1777,1.825435,0.19,78.5672,96.6385,90.1211
2005-02-01,1.63,1.1907,1.940841,0.2,74.9089,97.2742,90.3191
2005-03-01,1.76,1.1727,2.063952,0.2,77.6198,97.2297,90.5401
2005-04-01,1.59,1.1949,1.899891,0.19,78.1123,97.093,91.2812
2005-05-01,1.51,1.2173,1.838123,0.19,78.082,96.8254,91.1906
2005-06-01,1.54,1.2643,1.947022,0.2,76.5079,97.1613,90.9856
2005-07-01,1.49,1.2937,1.927613,0.21,76.412,96.0911,90.4879
2005-08-01,1.48,1.2623,1.868204,0.22,76.4267,95.6472,90.6182
2005-09-01,1.5,1.2638,1.8957,0.23,75.9308,95.6251,91.0147
2005-10-01,1.46,1.288,1.88048,0.25,75.8489,95.1432,91.8106
