item,value,month
"Cocoa, 2022 average (USD/kg)",2.39333333333333,
"Cocoa, peak month (USD/kg)",10.75,2025-01-01
"Cocoa, August 2026 (USD/kg)",5.95,2026-08
"Cocoa, 2022 average (CHF/kg)",2.28340869166667,
"Cocoa, peak month (CHF/kg)",9.7752975,2025-01-01
"Cocoa, August 2026 (CHF/kg)",4.8063505,2026-08
"CHF per USD, 2022 average",0.9548325,
"CHF per USD, August 2026",0.80779,2026-08
"LIK chocolate, 2022 average (Dec 2025 = 100)",79.6473083333333,
"LIK chocolate, peak",100.7853,2025-08-01
"LIK chocolate, August 2026",97.778,2026-08
"LIK food, 2022 average",97.9673666666667,
"LIK food, August 2026",102.1011,2026-08
Chocolate weight in the LIK basket (%),0.632,2026
